date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:23	289/289	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2021%20Dec%202019%2013:46:24%20GMT	http://v0.windows93.net/robots.txt		(from )
13:46:24	13692/13692	---M-Z	200	added ('OK')	text/html	etag:%22357c-53e0eabd6d240-gzip%22	http://v0.windows93.net/	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/index.html	(from )
13:46:24	10062/10062	---M-Z	200	added ('OK')	text/css	etag:%22274e-53e0eac049900-gzip%22	http://v0.windows93.net/styles/defaultxp.css	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/styles/defaultxp.css	(from http://v0.windows93.net/)
13:46:24	447/447	---M-Z	200	added ('OK')	application/javascript	etag:%221bf-53e0eabe61480-gzip%22	http://v0.windows93.net/scripts/clock.js	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/scripts/clock.js	(from http://v0.windows93.net/)
13:46:24	5364/5364	---M-Z	200	added ('OK')	application/javascript	etag:%2214f4-53e0eabf556c0-gzip%22	http://v0.windows93.net/scripts/startmenu.js	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/scripts/startmenu.js	(from http://v0.windows93.net/)
13:46:25	261/261	---M-Z	200	added ('OK')	application/javascript	etag:%22105-53e0eabf556c0-gzip%22	http://v0.windows93.net/scripts/xp-demo-common.js	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/scripts/xp-demo-common.js	(from http://v0.windows93.net/)
13:46:25	3862/3862	---M-Z	200	added ('OK')	application/javascript	etag:%22f16-53e0eabe61480-gzip%22	http://v0.windows93.net/scripts/dom-drag.js	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/scripts/dom-drag.js	(from http://v0.windows93.net/)
13:46:27	1210/1210	---M--	200	added ('OK')	image/jpeg	etag:%224ba-53e0eaa4a17c0%22	http://v0.windows93.net/images/default_icon.jpg	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/default_icon.jpg	(from http://v0.windows93.net/)
13:46:27	10329/10329	---M-Z	200	added ('OK')	text/css	etag:%222859-53e0eac049900-gzip%22	http://v0.windows93.net/styles/global.css	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/styles/global.css	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:27	154/154	---M--	200	added ('OK')	image/png	etag:%229a-53e0eaa3ad580%22	http://v0.windows93.net/images/classic/taskbar.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/taskbar.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:28	3395/3395	---M--	200	added ('OK')	image/png	etag:%22d43-53e0eaa1c5100%22	http://v0.windows93.net/images/classic/start_button.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/start_button.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:28	174/174	---M--	200	added ('OK')	image/png	etag:%22ae-53e0ea9df4800%22	http://v0.windows93.net/images/classic/clock.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/clock.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:31	12622/12622	---M--	200	added ('OK')	image/png	etag:%22314e-53e0eaa1c5100%22	http://v0.windows93.net/images/classic/start_menu.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/start_menu.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:31	363/363	---M--	200	added ('OK')	image/png	etag:%2216b-53e0ea9ee8a40%22	http://v0.windows93.net/images/classic/logoff.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/logoff.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:31	330/330	---M--	200	added ('OK')	image/png	etag:%2214a-53e0eaa0d0ec0%22	http://v0.windows93.net/images/classic/shutdown.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/shutdown.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:31	183/183	---M--	200	added ('OK')	image/png	etag:%22b7-53e0eaa1c5100%22	http://v0.windows93.net/images/classic/system_tray_arrow.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/system_tray_arrow.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:32	522/522	---M--	200	added ('OK')	image/png	etag:%2220a-53e0eaa1c5100%22	http://v0.windows93.net/images/classic/system_tray_gmail.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/system_tray_gmail.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:32	672/672	---M--	200	added ('OK')	image/png	etag:%222a0-53e0eaa2b9340%22	http://v0.windows93.net/images/classic/system_tray_lan.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/system_tray_lan.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:32	692/692	---M--	200	added ('OK')	image/png	etag:%222b4-53e0eaa2b9340%22	http://v0.windows93.net/images/classic/system_tray_winamp.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/system_tray_winamp.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:33	817/817	---M--	200	added ('OK')	image/png	etag:%22331-53e0eaa2b9340%22	http://v0.windows93.net/images/classic/system_tray_msn.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/system_tray_msn.png	(from http://v0.windows93.net/styles/defaultxp.css)
13:46:33	165/165	---M--	200	added ('OK')	image/png	etag:%22a5-53e0eaa3ad580%22	http://v0.windows93.net/images/classic/taskbar_resize.png	C:/Mes%20Sites%20Web/WinVista/v0.windows93.net/images/classic/taskbar_resize.png	(from http://v0.windows93.net/styles/defaultxp.css)
